epoch,train_loss,train_loss_cls,train_loss_iou,train_loss_dfl,train_loss_pose_cls,train_loss_pose_reg,val_loss,val_loss_cls,val_loss_iou,val_loss_dfl,val_loss_pose_cls,val_loss_pose_reg,ap,ar,ap_0.50,ap_0.75,ar_0.50,ar_0.75
109,2.0845,0.2444,0.2776,0.0123,0.001,1.5492,1.8588,0.2516,0.2374,0.0116,0.0008,1.3575,0.2805,0.5011,0.308,0.5274,0.2819,0.5021
110,2.0532,0.2446,0.2774,0.0122,0.0007,1.5182,1.8713,0.2499,0.2392,0.0116,0.0008,1.3698,0.2857,0.5045,0.318,0.5312,0.285,0.5052
111,2.0066,0.2463,0.2758,0.0123,0.0007,1.4716,1.847,0.2526,0.234,0.0116,0.0008,1.3481,0.2778,0.5059,0.3056,0.5319,0.2746,0.5052
112,2.0098,0.243,0.275,0.0122,0.0008,1.4787,1.8244,0.2498,0.2345,0.0116,0.0008,1.3277,0.2781,0.5136,0.309,0.5403,0.2778,0.5146
113,2.0153,0.2464,0.2773,0.0122,0.0007,1.4786,1.8275,0.2518,0.2341,0.0116,0.0008,1.3292,0.2896,0.515,0.3208,0.5417,0.2882,0.5156
114,2.04,0.2444,0.2784,0.0122,0.0007,1.5043,1.8327,0.2498,0.2354,0.0116,0.0009,1.335,0.2912,0.5111,0.3179,0.5365,0.2928,0.5125
115,1.9693,0.2456,0.2712,0.0122,0.0007,1.4396,1.8356,0.2512,0.2302,0.0116,0.0008,1.3418,0.2869,0.5091,0.3134,0.5337,0.2886,0.5101
116,1.9716,0.2439,0.2719,0.0122,0.0011,1.4425,1.8114,0.2489,0.2319,0.0116,0.0008,1.3182,0.2861,0.514,0.3108,0.5389,0.2862,0.5139
117,1.9725,0.2451,0.273,0.0122,0.0007,1.4414,1.8362,0.2501,0.2348,0.0116,0.0008,1.339,0.2779,0.5098,0.3046,0.5351,0.2798,0.5108
118,1.9421,0.2469,0.2686,0.0122,0.0007,1.4138,1.7788,0.2553,0.2262,0.0116,0.0009,1.2848,0.2689,0.5047,0.2928,0.5295,0.2687,0.5056
119,1.9905,0.2465,0.2743,0.0122,0.0007,1.4567,1.8228,0.2528,0.2365,0.0116,0.0009,1.3211,0.2679,0.503,0.2912,0.5271,0.2678,0.5042
120,1.978,0.2454,0.2718,0.0121,0.0009,1.4477,1.8173,0.2523,0.2321,0.0115,0.0009,1.3206,0.2734,0.5078,0.2993,0.5337,0.2706,0.5076
121,1.9489,0.2462,0.2716,0.0121,0.0008,1.4182,1.82,0.2541,0.2343,0.0115,0.0008,1.3194,0.2777,0.5115,0.3036,0.5365,0.2785,0.5122
122,1.8701,0.2457,0.2668,0.0121,0.0006,1.3449,1.825,0.2525,0.2321,0.0115,0.001,1.3279,0.2836,0.5132,0.3086,0.5375,0.2839,0.5139
123,1.9376,0.244,0.2708,0.0121,0.0008,1.41,1.8355,0.2505,0.2353,0.0114,0.0008,1.3375,0.2866,0.5141,0.3128,0.5396,0.2867,0.5149
124,1.89,0.2426,0.2671,0.0121,0.0008,1.3674,1.7885,0.2504,0.232,0.0114,0.0008,1.2939,0.2863,0.5124,0.3149,0.5382,0.2868,0.5135
125,1.9132,0.2444,0.2674,0.0121,0.0007,1.3886,1.8188,0.2493,0.2311,0.0114,0.0009,1.3261,0.288,0.5117,0.3161,0.5382,0.2882,0.5118
126,1.8697,0.2448,0.267,0.012,0.0007,1.3453,1.8002,0.249,0.227,0.0114,0.0009,1.3118,0.2917,0.5147,0.327,0.542,0.2906,0.5156
127,1.8806,0.2434,0.2636,0.012,0.0008,1.3609,1.7908,0.2469,0.2314,0.0114,0.0008,1.3002,0.2942,0.5204,0.3264,0.5472,0.2967,0.5226
128,1.8336,0.2436,0.2632,0.012,0.0008,1.314,1.7789,0.2466,0.2264,0.0114,0.0008,1.2938,0.2966,0.5231,0.3273,0.5497,0.2966,0.5233
129,1.9013,0.2443,0.264,0.012,0.0008,1.3802,1.7709,0.2479,0.2256,0.0114,0.0008,1.2852,0.2942,0.5269,0.3256,0.5528,0.2921,0.5271
130,1.8706,0.2445,0.2646,0.012,0.0009,1.3485,1.7706,0.2497,0.2271,0.0114,0.0007,1.2817,0.2916,0.5212,0.3196,0.5462,0.2934,0.5215
131,1.9038,0.2462,0.267,0.012,0.0008,1.3778,1.7766,0.2513,0.2307,0.0114,0.0008,1.2825,0.2893,0.5164,0.3144,0.5392,0.2881,0.5167
132,1.8831,0.2447,0.2651,0.012,0.0007,1.3606,1.7822,0.2503,0.2285,0.0114,0.0009,1.2911,0.2901,0.518,0.3194,0.5413,0.2873,0.5177
133,1.8566,0.246,0.2635,0.0121,0.0008,1.3343,1.7963,0.2494,0.2299,0.0114,0.0008,1.3049,0.2866,0.5159,0.3161,0.5403,0.2849,0.5163
134,1.8499,0.2457,0.2654,0.012,0.0007,1.3261,1.7681,0.2493,0.2306,0.0114,0.0009,1.276,0.2899,0.5194,0.3208,0.5455,0.2868,0.5191
135,1.8342,0.2452,0.2629,0.012,0.0009,1.3132,1.7708,0.2497,0.2307,0.0114,0.0009,1.2781,0.2918,0.5202,0.3214,0.5455,0.2933,0.5208
136,1.8156,0.2454,0.2638,0.012,0.0008,1.2936,1.7561,0.2491,0.2287,0.0114,0.0009,1.2661,0.2981,0.5199,0.3286,0.5455,0.2999,0.5201
137,1.82,0.2464,0.2603,0.012,0.0006,1.3006,1.7331,0.2492,0.2268,0.0114,0.0008,1.2449,0.3027,0.5225,0.332,0.5469,0.3027,0.5226
138,1.8396,0.2464,0.2629,0.012,0.0005,1.3179,1.7797,0.2508,0.2248,0.0114,0.0008,1.2919,0.3008,0.5212,0.3319,0.5462,0.3018,0.5215
139,1.7814,0.2467,0.2598,0.012,0.0009,1.262,1.779,0.2514,0.2254,0.0114,0.0009,1.29,0.2968,0.5209,0.3278,0.5455,0.2967,0.5208
140,1.8312,0.2469,0.2605,0.012,0.0007,1.311,1.7464,0.2512,0.2219,0.0114,0.0008,1.2612,0.2967,0.5185,0.3273,0.5434,0.2937,0.5184
141,1.7775,0.2484,0.2601,0.012,0.0009,1.2561,1.7621,0.2538,0.2235,0.0114,0.0008,1.2727,0.2894,0.5196,0.3211,0.5451,0.2859,0.5194
142,1.7817,0.2477,0.2594,0.012,0.0007,1.2619,1.7388,0.2533,0.2253,0.0114,0.0008,1.248,0.2891,0.5214,0.3182,0.5458,0.2895,0.5208
143,1.7764,0.2469,0.2596,0.012,0.0008,1.2571,1.7558,0.2529,0.2274,0.0114,0.0008,1.2633,0.2897,0.5192,0.32,0.5431,0.286,0.5188
144,1.7894,0.2474,0.259,0.012,0.0008,1.2702,1.7399,0.2527,0.2244,0.0114,0.0008,1.2506,0.2937,0.5222,0.3242,0.5479,0.2939,0.5215
145,1.7791,0.2485,0.2575,0.012,0.001,1.2601,1.7424,0.2529,0.2213,0.0113,0.0007,1.2561,0.2994,0.5205,0.3312,0.5458,0.2952,0.5191
146,1.7418,0.2488,0.254,0.012,0.0008,1.2262,1.7205,0.2531,0.2205,0.0113,0.0008,1.2348,0.2991,0.5215,0.3289,0.5465,0.2996,0.5205
